counter	timestamp	deadtime	ch1_height	ch2_height	Delta_T
1	1719999628.8044317	0.0017602043781121861	445	1871	-22
2	1719999628.9116588	0.0049446009222813584	655	991	-23
3	1719999629.0195847	0.0035834761931095504	3386	2538	-18
4	1719999629.1268857	0.0037789251057476986	522	746	-19
5	1719999629.2366843	0.0031047466339896974	2874	3723	-21
6	1719999629.3735514	0.0034423407917383822	769	1799	-19
7	1719999629.4921432	0.006729815065403699	493	2313	-19
8	1719999629.603762	0.04995206547712736	3377	983	-20
9	1719999629.7175906	0.00385704735768067	1897	1272	-19
10	1719999629.830044	0.0031101163641763813	2391	586	-20
11	1719999629.939111	0.0033506292538566114	313	211	-20
12	1719999630.0455236	0.0027666424529401742	2911	2531	-21
13	1719999630.151326	0.0032984797723260924	407	2175	-20
14	1719999630.2628152	0.0031850608027893345	1301	3238	-22
15	1719999630.373183	0.0030248491356493594	2977	3772	-18
16	1719999630.4922278	0.0066057498553558245	449	2327	-19
17	1719999630.5997026	0.002961302527468365	389	2601	-18
18	1719999630.71315	0.002602267209541366	701	653	-17
19	1719999630.8205314	0.004289647650337187	2008	1997	-20
20	1719999630.9261582	0.0045541019640411	1933	746	-19
21	1719999631.0319412	0.020563756960475806	282	256	-22
22	1719999631.1397178	0.0026916111826871965	638	2756	39
23	1719999631.2447636	0.0027099901950103497	3036	1169	-19
24	1719999631.3516946	0.003564172933670742	669	1597	-18
25	1719999631.4579852	0.002723260189213824	2131	220	-19
27	1719999631.6695926	0.0027046724064568113	1884	848	-22
28	1719999631.7792578	0.005352845528455285	399	2001	-19
29	1719999631.8849227	0.0031463327467417023	1469	462	-20
30	1719999631.9900434	0.0030078530824823183	3129	2603	-4
31	1719999632.096936	0.0027596330602702077	642	1409	-21
32	1719999632.2022069	0.002519182715506793	856	2101	-20
33	1719999632.3077078	0.002702305771772654	1589	2477	-18
34	1719999632.4129937	0.002525338316063643	878	1500	-23
35	1719999632.5185127	0.002553153031021939	495	2471	-18
36	1719999632.623945	0.0027334635628628793	966	375	-62
37	1719999632.7306828	0.0031302817923430895	213	1428	-20
38	1719999632.8484986	0.008070116814387313	329	2293	-19
